PlayerId,Name,count,EPA,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,DL,LB,LeftSide,RightSide,Tech0,Tech1,Tech2,Tech2i,Tech3,Tech4,Tech4i,Tech5,Tech6,Tech7,Tech9,TechOff,TechOutside,DT,DE,RosterLB,team
360,Danny Trevathan,1,0.828297,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Bears
363,Von Miller,337,0.052503297,11,9,4,0,29,2,0,0,0,337,221,104,0,0,0,0,0,0,0,0,0,0,0,12,325,0,0,337,Broncos
365,Khalil Mack,474,-0.049584169,14,5,3,0,32,1,0,1,296,178,231,236,0,0,0,0,0,4,1,13,10,42,226,7,171,0,0,474,Bears
367,T.J. Carrie,19,-0.391949684,1,0,0,0,2,1,0,0,0,19,6,13,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,Browns
372,D.J. Hayden,3,0.443001667,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Jaguars
379,Chris Harris Jr,1,0.100825,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Broncos
380,Corey Liuget,120,-0.224815775,6,4,1,0,1,1,0,0,120,0,66,54,0,68,0,11,21,2,1,5,3,9,0,0,0,120,0,0,Bills
382,Darian Stewart,6,0.298291667,0,0,0,0,1,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,Buccaneers
390,Melvin Ingram III,385,-0.015830945,21,10,5,2,30,5,1,0,2,383,173,148,0,0,0,0,1,0,1,0,0,0,0,64,319,0,385,0,Chargers
420,Danny Shelton,265,-0.065127302,12,23,1,0,7,0,0,1,265,0,59,81,125,74,11,12,29,2,10,2,0,0,0,0,0,265,0,0,Patriots
427,Eddie Goldman,187,-0.123048043,10,5,1,0,5,0,0,0,184,3,17,138,30,47,19,44,41,0,2,0,0,1,0,2,1,187,0,0,Bears
430,Sam Acho,36,0.096506111,1,1,1,0,2,0,0,1,1,35,7,26,0,0,0,0,1,0,0,0,0,0,0,3,32,0,36,0,Buccaneers
432,Christian Jones,225,0.028350458,5,15,0,0,2,0,0,0,2,223,79,83,0,0,0,0,1,0,0,0,1,0,0,63,160,0,0,225,Lions
434,Kyle Fuller,9,0.122283667,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,Bears
438,Manti Te'o,1,2.773422,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Saints
439,Jadeveon Clowney,235,-0.020525034,10,3,1,0,14,0,0,2,185,50,91,135,0,0,0,0,3,1,3,45,18,70,45,9,41,0,235,0,Seahawks
443,Jeremiah Attaochu,267,0.023503978,8,7,3,1,14,0,0,0,5,262,102,150,0,0,0,0,0,0,0,0,0,0,5,15,247,0,0,267,Broncos
446,Jahleel Addae,7,0.050097,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,Texans
447,Eric Weddle,10,0.4715343,0,1,0,0,1,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Rams
452,Patrick Robinson,31,-0.419815419,1,1,0,0,4,0,0,0,0,31,15,16,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,Saints
487,Kevin Johnson,6,0.204015167,1,1,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,Bills
488,Kareem Jackson,1,1.277586,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Broncos
514,Star Lotulelei,258,-0.094134895,8,4,2,0,4,1,1,0,258,0,116,141,1,177,4,38,25,4,9,0,0,0,0,0,0,258,0,0,Bills
518,AJ Klein,78,-0.163545179,5,0,0,0,0,0,0,0,0,78,51,27,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,Saints
520,Luke Kuechly,5,0.9842222,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,Panthers
522,Thomas Davis Sr,3,0.404697667,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Chargers
533,Tre Boston,29,0.312364931,2,0,0,0,0,0,0,0,0,29,25,4,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,Panthers
537,Calais Campbell,366,0.067477738,16,7,2,0,25,2,0,1,349,17,191,162,8,10,2,11,88,28,29,76,33,47,17,5,12,0,366,0,Jaguars
541,Corey Peters,371,0.053969722,8,9,0,0,8,0,0,0,371,0,127,188,56,79,6,155,59,5,11,0,0,0,0,0,0,371,0,0,Cardinals
544,Lorenzo Alexander,78,0.176040192,5,4,0,0,4,0,0,0,0,78,38,40,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,Bills
547,Alex Okafor,87,-0.139011828,2,2,2,0,6,0,0,0,61,26,78,4,0,0,0,0,0,2,0,4,20,3,32,5,21,0,87,0,Chiefs
548,Patrick Peterson,1,-0.403323,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Cardinals
551,Tyrann Mathieu,18,0.087892389,1,0,1,0,1,0,0,0,0,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,Chiefs
558,Markus Golden,456,-0.003649498,18,19,4,0,34,1,0,0,237,219,370,81,0,0,0,0,3,2,2,16,12,36,166,5,214,0,0,456,Giants
588,Mike Daniels,126,0.006870056,4,3,1,0,6,0,0,0,126,0,88,25,13,8,2,5,59,6,16,9,1,6,1,0,0,126,0,0,Lions
597,Clay Matthews,350,-0.043921391,9,9,2,0,21,2,0,0,1,349,250,90,0,0,0,0,0,0,0,0,0,1,0,10,339,0,0,350,Rams
606,Morgan Burnett,7,-0.184239857,1,0,0,0,4,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,Browns
608,Ha Ha Clinton-Dix,10,0.057258,0,1,0,0,0,0,0,0,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Bears
610,Micah Hyde,14,0.209523429,1,1,0,0,1,0,0,0,0,14,3,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,Bills
648,Sean Lee,18,-0.029773444,3,1,1,0,1,0,0,0,0,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,Cowboys
660,Anthony Hitchens,4,-0.3964545,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,Chiefs
664,Brandon Carr,2,-1.05041,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Ravens
683,Byron Jones,8,0.270649375,0,0,0,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,Cowboys
696,Ezekiel Ansah,166,0.065599265,3,4,1,1,9,2,0,1,133,33,52,110,0,0,0,0,1,3,5,11,7,33,73,4,29,0,166,0,Seahawks
708,Julian Stanford,6,0.284555667,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,Bills
709,DeMarcus Lawrence,348,-0.056315963,20,11,1,1,27,1,0,0,332,16,324,21,0,0,0,0,5,5,11,2,115,26,168,3,13,0,348,0,Cowboys
714,Tahir Whitehead,31,0.058586419,3,0,0,0,0,0,0,0,0,31,22,9,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,Raiders
718,Richard Sherman,1,-0.103545,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49ers
719,Kyle Van Noy,375,-0.051797552,20,11,2,0,22,1,0,1,0,375,265,42,0,0,0,0,0,0,0,0,0,0,0,68,307,0,0,375,Patriots
722,Darius Slay,2,0.60126,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Lions
729,Earl Thomas,23,-0.554183565,1,1,0,1,4,0,0,0,0,23,15,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,Ravens
740,K.J. Wright,35,0.067576286,1,1,0,0,0,1,0,0,0,35,24,11,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,35,Seahawks
742,Kevin Pierre-Louis,9,0.317924222,0,0,0,0,2,0,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,Bears
745,Bobby Wagner,5,-1.035403,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,Seahawks
748,Bruce Irvin,390,0.151061772,11,13,5,0,24,0,0,1,163,227,324,61,0,0,0,0,12,1,0,9,52,20,69,5,222,0,0,390,Panthers
753,Michael Bennett,396,-0.065792364,20,6,4,0,26,0,0,0,381,15,331,62,2,6,6,7,24,40,43,47,38,17,151,1,14,0,396,0,Cowboys
755,Frank Clark,265,-0.197557962,8,7,4,0,19,1,0,1,137,128,88,170,0,2,0,0,1,2,0,4,11,4,113,7,121,0,265,0,Chiefs
759,Vic Beasley Jr,339,-0.093911402,16,6,6,1,18,1,0,2,183,156,182,140,0,0,0,0,0,1,1,7,7,36,131,17,139,0,0,339,Falcons
763,Brandon Mebane,206,-0.031401209,5,3,0,0,3,0,0,0,206,0,86,115,5,190,1,4,6,0,0,0,0,0,0,0,0,206,0,0,Chargers
767,Adrian Clayborn,241,-0.095962697,4,2,3,0,21,0,0,0,210,31,1,234,0,0,0,0,21,13,17,3,5,10,141,6,25,0,241,0,Falcons
771,Cassius Marsh,253,-0.043898482,11,10,1,1,13,0,0,0,10,243,132,95,0,0,0,0,3,0,1,0,0,0,6,26,217,0,0,253,Cardinals
794,DaQuan Jones,355,0.021807865,10,12,0,0,7,2,0,0,347,8,171,143,33,180,26,33,65,3,7,0,0,0,0,8,0,355,0,0,Titans
805,Jurrell Casey,273,-0.013721667,9,9,3,0,12,0,0,0,171,102,115,104,10,4,7,17,47,12,29,12,7,4,22,44,58,273,0,0,Titans
810,Gerald McCoy,342,0.163691088,8,14,2,1,19,1,0,0,342,0,112,219,11,67,2,5,198,2,23,24,0,8,2,0,0,342,0,0,Panthers
815,Clinton McDonald,14,0.241549,0,0,0,0,1,0,0,0,14,0,7,6,1,0,0,0,10,0,0,3,0,0,0,0,0,14,0,0,Cardinals
825,Lavonte David,65,-0.245118831,3,0,0,0,4,2,0,0,0,65,9,56,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,65,Buccaneers
836,Bradley McDougald,37,0.272308541,1,1,0,0,0,0,0,0,0,37,21,16,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,Seahawks
839,Linval Joseph,199,-0.089913618,8,9,0,0,4,0,0,0,199,0,68,113,18,129,17,24,10,1,0,0,0,0,0,0,0,199,0,0,Vikings
842,Everson Griffen,374,-0.052201757,11,8,3,1,28,0,0,0,347,27,0,374,0,0,0,0,0,32,3,21,60,111,120,0,27,0,374,0,Vikings
843,Danielle Hunter,415,-0.014908313,17,9,6,0,35,0,0,2,397,18,390,25,0,0,0,0,1,30,13,30,120,91,112,0,18,0,415,0,Vikings
845,Al Woods,178,-0.098525287,7,6,1,0,7,0,0,0,175,3,93,81,1,71,8,8,86,0,1,0,0,0,0,3,0,178,0,0,Seahawks
846,Eric Kendricks,1,-0.1626,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Vikings
848,Anthony Barr,58,0.0397805,2,3,0,0,1,0,0,0,0,58,29,29,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,58,Vikings
856,Harrison Smith,41,-0.023235732,3,2,0,0,3,1,0,0,0,41,17,24,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,Vikings
867,Jason McCourty,2,-0.2560095,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Patriots
872,Stephone Anthony,20,0.29096805,0,1,0,0,0,0,0,0,0,20,9,9,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,20,Saints
890,Akiem Hicks,35,-0.3415606,4,0,0,0,3,0,0,0,32,3,33,1,1,1,3,0,14,8,5,0,0,0,0,0,3,35,0,0,Bears
907,John Jenkins,252,-0.006040385,9,12,0,0,4,0,0,0,250,2,109,90,51,46,26,18,94,3,9,1,1,1,0,2,0,252,0,0,Dolphins
923,PJ Williams,9,0.471265444,1,0,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,Saints
933,Carlos Dunlap,407,0.018903064,27,16,7,2,34,5,0,2,288,119,268,137,0,0,0,0,6,0,3,100,32,52,95,2,117,0,407,0,Bengals
934,Domata Peko,132,-0.212521023,7,7,0,0,3,0,0,0,131,1,46,55,30,44,6,16,31,0,4,0,0,0,0,1,0,132,0,0,Ravens
935,Geno Atkins,394,0.061083165,7,13,1,1,15,0,0,0,387,7,135,232,20,13,7,23,309,5,5,5,0,0,0,7,0,394,0,0,Bengals
944,Darqueze Dennard,2,0.492253,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Bengals
995,Aaron Donald,415,-0.037729183,11,12,6,3,38,1,0,0,410,5,199,212,1,5,4,2,300,26,25,31,1,5,10,3,2,415,0,0,Rams
997,Michael Brockers,341,-0.030413933,17,12,1,1,9,1,0,0,341,0,173,162,6,41,15,1,47,138,23,30,31,7,2,0,0,341,0,0,Rams
998,Robert Quinn,400,-0.065161773,16,6,5,0,34,0,0,2,394,6,0,400,0,0,0,0,2,10,9,5,99,27,242,0,6,0,400,0,Cowboys
1003,Alec Ogletree,15,-0.238559933,0,1,0,0,0,0,0,0,0,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,Giants
1004,Bashaud Breeland,2,-0.6614585,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Chiefs
1011,Trent Murphy,343,-0.119649455,15,10,5,0,23,0,0,2,257,86,339,1,0,0,0,0,4,10,5,44,60,59,75,3,83,0,0,343,Bills
1016,Ryan Kerrigan,179,0.066455631,5,5,3,1,10,0,0,1,77,102,132,42,0,0,0,0,1,0,0,5,4,13,54,5,97,0,0,179,Redskins
1022,Lamarcus Joyner,13,-0.503189462,0,1,0,0,2,0,0,0,4,9,5,8,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,Raiders
1027,Mark Barron,47,-0.900508936,3,2,0,0,0,1,0,0,0,47,21,26,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,47,Steelers
1031,Rodney McLeod,33,-0.208715758,1,2,0,0,3,0,0,1,0,33,18,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,Eagles
1033,Janoris Jenkins,3,1.388902667,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Giants
1047,Vinny Curry,203,-0.135382429,10,5,4,0,20,0,0,0,202,1,97,106,0,5,3,7,23,6,14,15,10,32,87,0,1,0,203,0,Eagles
1048,Fletcher Cox,384,-0.12842188,10,7,0,2,13,0,0,1,383,1,321,35,27,33,37,57,153,8,58,2,0,0,8,1,0,384,0,0,Eagles
1050,Brandon Graham,355,-0.169409315,12,8,3,1,22,0,0,0,342,13,281,72,0,2,2,8,17,42,29,21,31,31,159,2,11,0,355,0,Eagles
1053,Mychal Kendricks,174,-0.100006241,9,9,1,0,3,0,0,1,0,174,72,53,0,0,0,0,0,0,0,0,0,0,0,49,125,0,0,174,Seahawks
1056,Beau Allen,74,-0.177247757,1,4,0,1,4,0,0,0,74,0,10,45,19,17,4,12,17,0,5,0,0,0,0,0,0,74,0,0,Buccaneers
1058,Eric Rowe,8,-0.557093,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,Dolphins
1060,Malcolm Jenkins,51,-0.011378941,5,0,0,0,1,1,0,1,0,51,32,19,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,Eagles
1066,Barkevious Mingo,69,-0.142522246,0,1,0,0,6,0,0,0,1,68,28,31,0,0,0,0,0,0,0,0,0,1,0,10,58,0,0,69,Texans
1072,Craig Robertson,9,-0.231970667,0,0,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,Saints
1073,Tashaun Gipson,20,0.3515214,0,0,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,Texans
1076,K'Waun Williams,6,-1.006990667,1,0,0,0,0,0,0,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,49ers
1079,Pierre Desir,5,-0.189912,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,Colts
1082,Tramon Williams,1,1.169991,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Packers
1101,Johnathan Hankins,327,0.013431945,7,18,0,1,7,0,0,0,327,0,145,173,9,196,39,54,28,0,1,0,0,0,0,0,0,327,0,0,Raiders
1106,Devon Kennard,432,0.044648609,18,9,4,0,25,0,0,1,79,353,357,46,0,0,0,0,4,0,7,1,0,1,66,29,324,0,0,432,Lions
1109,Prince Amukamara,6,-0.195837167,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,Bears
1111,Bennett Jackson,1,0.182988,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ravens
1112,Landon Collins,28,-0.284230714,1,0,0,0,1,0,0,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,Redskins
1142,Damontre Moore,51,-0.321521137,1,3,0,0,5,0,0,1,47,4,19,32,0,0,0,0,0,0,1,2,14,2,28,0,4,0,51,0,49ers
1164,Cameron Jordan,395,-0.123500871,17,7,7,1,41,4,0,0,163,232,318,73,0,1,2,0,6,5,12,58,13,37,29,4,228,0,395,0,Saints
1167,Kenny Vaccaro,40,0.083719925,2,1,0,0,2,0,0,0,0,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,Titans
1177,Tyeler Davison,223,0.017327072,6,10,0,0,3,0,0,0,223,0,82,102,39,117,1,46,16,0,4,0,0,0,0,0,0,223,0,0,Falcons
1184,Justin Houston,329,-0.044954863,13,9,6,0,24,1,0,2,320,9,5,323,0,0,0,0,3,1,0,2,23,17,274,1,8,0,329,0,Colts
1190,Allen Bailey,158,-0.052762563,4,4,1,0,8,0,0,0,157,1,64,90,4,13,2,23,42,6,18,21,1,24,3,0,1,0,158,0,Falcons
1198,Marcus Peters,2,0.2899305,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Ravens
1213,Malcolm Smith,15,-0.478231067,2,0,0,0,0,0,0,1,0,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,Cowboys
1219,Denico Autry,276,-0.024455283,4,12,0,2,14,2,0,0,273,3,130,141,2,14,1,24,72,60,94,5,1,0,0,3,0,0,276,0,Colts
1231,Logan Ryan,15,-0.110895933,1,0,0,0,0,0,0,0,0,15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,Titans
