Name,coef.Pressureridge.
Denzel Ward,-0.073517525
Deon Bush,0.053713365
Deone Bucannon,0.146350846
Derek Barnett,0.019142439
Derek Wolfe,-0.03026933
Derick Roberson,0.066057086
Derrick Nnadi,-0.026309641
Derwin James,0.019957301
Desmond King II,-0.104201059
Devaroe Lawrence,-0.017832077
Devin Bush,-0.075996893
Devin McCourty,0.01001201
Devin White,0.029967518
Devon Kennard,0.010333865
Dexter Lawrence,0.002689005
Deyon Sizer,-0.074830763
Dion Jordan,-0.009798638
Domata Peko,-0.038113547
Donald Payne,-0.083936512
Donovan Olumba,-0.122120901
Dont'a Hightower,0.010444815
Dontari Poe,-0.019845767
Dontavius Russell,-0.091859623
Dorance Armstrong,-0.026569912
Dre'Mont Jones,-0.009494538
Dre Greenlaw,0.067010422
Duke Dawson Jr,-0.07854432
Duke Riley,-0.061437654
Duron Harmon,0.44585572
Dylan Cole,-0.127199418
Earl Thomas,0.064449474
Ed Oliver,0.035357814
Eddie Goldman,0.002391946
Eddie Jackson,-0.021036177
Eddie Vanderdoes,-0.041987383
Efe Obada,-0.059823303
Eli Ankou,-0.056360221
Elijah Lee,-0.169227719
Emeke Egbule,0.032025888
Emmanuel Moseley,-0.103108593
Emmanuel Ogbah,-0.024421013
Eric Kendricks,-0.018022107
Eric Murray,-0.07826567
Eric Reid,-0.040049892
Eric Rowe,0.072163132
Eric Weddle,0.002579708
Eric Wilson,-0.048726294
Erik Harris,0.190859981
Everson Griffen,0.041046621
Ezekiel Ansah,0.002710258
Fletcher Cox,-0.01089689
Folorunso Fatukasi,-0.090231288
Foyesade Oluokun,-0.001175135
Frank Clark,0.007815503
Frank Herron,-0.033116809
Frankie Luvu,0.080422944
Fred Warner,-0.169765614
Freedom Akinmoladun,-0.155126584
Gareon Conley,-0.087277507
Genard Avery,0.062481316
Geno Atkins,-0.007698793
George Odum,-0.100026135
Gerald McCoy,-6.21E-04
Gerald Willis,0.021166262
Germaine Pratt,-0.01499733
Grady Jarrett,-0.013742322
Greg Gaines,-0.049327701
Grover Stewart,-0.05112546
Ha Ha Clinton-Dix,-0.058935214
Haason Reddick,0.038523731
Hardy Nickerson,-0.11674123
Harold Landry,-0.001110282
Harrison Smith,-0.014023236
Harvey Langi,-0.081673743
Henry Anderson,0.006099946
Hercules Mata'afa,0.133372147
Holton Hill,-0.123048269
Ibraheim Campbell,0.035997684
Ifeadi Odenigbo,0.031765848
Isaac Rochell,0.031161742
Isaiah Buggs,-0.018749882
Isaiah Irving,-8.92E-04
Isaiah Mack,0.001783674
Isaiah McKenzie,-0.121172538
Isaiah Oliver,-0.115043432
J.C. Jackson,0.381726062
Jabaal Sheard,0.034957912
Jabrill Peppers,0.493485108
Jack Crawford,0.021749623
Jacob Martin,0.019290649
