PlayerId,Name,count,EPA,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,LeftSide,RightSide,Tech0,Tech1,Tech2,Tech2i,Tech3,Tech4,Tech4i,Tech5,Tech6,Tech7,Tech9,TechOff,TechOutside,DT,DE,RosterLB,DEBinary,DTBinary,RosterLBBinary,DER,DEL,RosterLBR,RosterLBL,DTR,DTL,DominantSide,DERPrediction,DELPrediction,DE,RosterLBRPrediction,RosterLBLPrediction,LB,DTRPrediction,DTLPrediction,MaxProb,SecondPRob
312,Terrell Suggs,275,0.123694116,6,8,0,1,12,0,0,0,91,179,0,0,0,0,0,1,0,0,0,0,20,5,249,0,0,275,0,0,1,0,0,1,0,0,0,R,0.030151947,0.042668488,0.036410217,0.531741821,0.417891514,,-1.05E-15,0.008807588,0.531741821,0.417891514
338,Derek Wolfe,185,-0.077736859,6,6,3,0,7,1,0,0,178,6,0,2,25,15,76,27,13,24,1,1,0,1,0,0,185,0,1,0,0,0,1,0,0,0,0,L,0.102589454,0.382394366,0.24249191,0.010897436,0.00987013,,0.273809524,0.131830601,0.382394366,0.273809524
343,Sylvester Williams,32,0.037320156,2,3,0,0,0,0,0,0,10,17,5,26,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,1,0,R,0.058011869,0.015143121,0.036577495,0.023796549,0.06689008,,0.386071766,0.351206434,0.386071766,0.351206434
347,Justin Ellis,59,-0.225227966,1,5,0,0,2,0,0,0,17,35,7,23,1,15,12,0,1,0,0,0,0,0,0,59,0,0,0,1,0,0,0,0,0,1,0,R,0.037800687,0.001396648,0.019598668,0.002695418,-2.22E-16,,0.6131177,0.420345141,0.6131177,0.420345141
354,Mario Edwards Jr,157,0.024147631,5,1,3,0,7,0,0,1,98,59,0,0,0,0,12,6,4,57,18,38,13,0,9,0,157,0,1,0,0,0,1,0,0,0,0,L,0.630761622,0.472315593,0.551538608,0.043,0.027877238,,0.00625,0.052746741,0.630761622,0.551538608
363,Von Miller,337,0.052503297,11,9,4,0,29,2,0,0,221,104,0,0,0,0,0,0,0,0,0,0,0,12,325,0,0,337,0,0,1,0,0,0,1,0,0,L,0.016382576,0.014661319,0.015521947,0.380677656,0.566195857,,-1.05E-15,-1.11E-15,0.566195857,0.380677656
365,Khalil Mack,474,-0.049584169,14,5,3,0,32,1,0,1,231,236,0,0,0,0,0,4,1,13,10,42,226,7,171,0,0,474,0,0,1,0,0,1,0,0,0,R,0.490796703,0.056421152,0.273608928,0.237042125,0.377747502,,0.004289544,0.002659574,0.490796703,0.377747502
380,Corey Liuget,120,-0.224815775,6,4,1,0,1,1,0,0,66,54,0,68,0,11,21,2,1,5,3,9,0,0,0,120,0,0,0,1,0,0,0,0,0,0,1,L,0.209308511,0.128685446,0.168996978,0.007022472,0.014135626,,0.294776119,0.509763851,0.509763851,0.294776119
390,Melvin Ingram III,385,-0.015830945,21,10,5,2,30,5,1,0,173,148,0,0,0,0,1,0,1,0,0,0,0,64,319,0,385,0,1,0,0,0,1,0,0,0,0,L,0.113919926,0.036507937,0.075213931,0.408564815,0.646242263,,0.002999143,0.004681648,0.646242263,0.408564815
420,Danny Shelton,265,-0.065127302,12,23,1,0,7,0,0,1,59,81,125,74,11,12,29,2,10,2,0,0,0,0,0,265,0,0,0,1,0,0,0,0,0,1,0,R,0.040778098,0.011079274,0.025928686,3.33E-16,-2.22E-16,,0.300601852,0.617768959,0.617768959,0.300601852
427,Eddie Goldman,187,-0.123048043,10,5,1,0,5,0,0,0,17,138,30,47,19,44,41,0,2,0,0,1,0,2,1,187,0,0,0,1,0,0,0,0,0,1,0,R,0.021969697,0.001820728,0.011895213,2.36E-16,0.002688172,,0.320134875,0.61372549,0.61372549,0.320134875
430,Sam Acho,36,0.096506111,1,1,1,0,2,0,0,1,7,26,0,0,0,0,1,0,0,0,0,0,0,3,32,0,36,0,1,0,0,1,0,0,0,0,0,R,0.003021719,0.013596491,0.008309105,0.085399449,0.265503876,,-1.05E-15,0.007412399,0.265503876,0.085399449
432,Christian Jones,225,0.028350458,5,15,0,0,2,0,0,0,79,83,0,0,0,0,1,0,0,0,1,0,0,63,160,0,0,225,0,0,1,0,0,1,0,0,0,R,0.053565062,0.064683664,0.059124363,0.524888293,0.544179229,,0.007640879,0.008012821,0.544179229,0.524888293
439,Jadeveon Clowney,235,-0.020525034,10,3,1,0,14,0,0,2,91,135,0,0,0,0,3,1,3,45,18,70,45,9,41,0,235,0,1,0,0,1,0,0,0,0,0,R,0.621761905,0.078873239,0.350317572,0.093611111,0.203937008,,-1.05E-15,0.042663043,0.621761905,0.350317572
443,Jeremiah Attaochu,267,0.023503978,8,7,3,1,14,0,0,0,102,150,0,0,0,0,0,0,0,0,0,0,5,15,247,0,0,267,0,0,1,0,0,1,0,0,0,R,0.052066116,0.013143631,0.032604874,0.403315168,0.429088472,,-1.05E-15,0.002785515,0.429088472,0.403315168
452,Patrick Robinson,31,-0.419815419,1,1,0,0,4,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,R,0.014757914,0.010270775,0.012514345,0.044057971,0.391856976,,-1.05E-15,0.017125382,0.391856976,0.044057971
514,Star Lotulelei,258,-0.094134895,8,4,2,0,4,1,1,0,116,141,1,177,4,38,25,4,9,0,0,0,0,0,0,258,0,0,0,1,0,0,0,0,0,1,0,R,0.013034188,0.047668394,0.030351291,2.36E-16,-2.22E-16,,0.504735883,0.401793526,0.504735883,0.401793526
518,AJ Klein,78,-0.163545179,5,0,0,0,0,0,0,0,51,27,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,1,0,0,0,1,0,0,L,0.00128866,0.00802139,0.004655025,0.671014135,0.216327601,,0.006727431,0.002688172,0.671014135,0.216327601
533,Tre Boston,29,0.312364931,2,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,L,0.009744991,0.08655303,0.048149011,0.018761384,0.62272004,,9.06E-04,0.00390554,0.62272004,0.08655303
537,Calais Campbell,366,0.067477738,16,7,2,0,25,2,0,1,191,162,8,10,2,11,88,28,29,76,33,47,17,5,12,0,366,0,1,0,0,0,1,0,0,0,0,L,0.306516291,0.595058401,0.450787346,0.021447368,0.023007246,,0.100722674,0.134673816,0.595058401,0.450787346
541,Corey Peters,371,0.053969722,8,9,0,0,8,0,0,0,127,188,56,79,6,155,59,5,11,0,0,0,0,0,0,371,0,0,0,1,0,0,0,0,0,1,0,R,0.170228311,0.003546099,0.086887205,0.00855615,-2.22E-16,,0.450045914,0.609336824,0.609336824,0.450045914
544,Lorenzo Alexander,78,0.176040192,5,4,0,0,4,0,0,0,38,40,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,1,0,0,1,0,0,0,R,0.00475,-8.60E-16,0.002375,0.342234332,0.405627706,,-1.05E-15,0.005208333,0.405627706,0.342234332
547,Alex Okafor,87,-0.139011828,2,2,2,0,6,0,0,0,78,4,0,0,0,0,0,2,0,4,20,3,32,5,21,0,87,0,1,0,0,0,1,0,0,0,0,L,0.281967985,0.329200359,0.305584172,0.087249545,0.085904255,,-1.05E-15,0.008547009,0.329200359,0.305584172
