Name,coef.EPAridge.
Derek Wolfe,-0.024711919
Derick Roberson,-0.105101058
Derrick Nnadi,0.003600356
Derwin James,0.086767703
Desmond King II,0.022590251
Devaroe Lawrence,-0.071430827
Devin Bush,0.250663682
Devin McCourty,-0.055274024
Devin White,0.113992875
Devon Kennard,2.94E-04
Dexter Lawrence,0.011168368
Deyon Sizer,0.035157261
Dion Jordan,0.005015102
Domata Peko,-0.024323505
Donald Payne,0.292671785
Donovan Olumba,-0.259003048
Dont'a Hightower,0.027046357
Dontari Poe,0.007492196
Dontavius Russell,0.085380787
Dorance Armstrong,-0.003149487
Dre'Mont Jones,0.019589071
Dre Greenlaw,0.02282978
Duke Dawson Jr,-0.259585441
Duke Riley,0.569378489
Duron Harmon,-0.301859648
Dylan Cole,-0.124732512
Earl Thomas,-0.051870049
Ed Oliver,-0.036362907
Eddie Goldman,-0.031755691
Eddie Jackson,-0.07432353
Eddie Vanderdoes,0.031358387
Efe Obada,3.25E-05
Eli Ankou,-0.008427196
Elijah Lee,0.015299897
Emeke Egbule,-0.081772768
Emmanuel Moseley,-0.185932372
Emmanuel Ogbah,-0.165757707
Eric Kendricks,-0.022454348
Eric Murray,0.027285339
Eric Reid,0.049427922
Eric Rowe,-0.215745523
Eric Weddle,0.183278251
Eric Wilson,-0.049381096
Erik Harris,0.055298424
Everson Griffen,-0.0038434
Ezekiel Ansah,0.008519597
Fletcher Cox,-0.017069543
Folorunso Fatukasi,-0.023247553
Foyesade Oluokun,-0.029092316
Frank Clark,-0.056018976
Frank Herron,0.086175386
Frankie Luvu,0.229288826
Fred Warner,-0.053664726
Freedom Akinmoladun,0.041011907
Gareon Conley,-0.246111786
Genard Avery,-0.053432006
Geno Atkins,0.017501868
George Odum,-0.157287347
Gerald McCoy,0.034378063
Gerald Willis,-0.047760215
Germaine Pratt,-0.01453615
Grady Jarrett,-0.010940191
Greg Gaines,0.043244099
Grover Stewart,0.007402171
Ha Ha Clinton-Dix,0.030185933
Haason Reddick,0.014556889
Hardy Nickerson,-0.259803023
Harold Landry,0.021767774
Harrison Smith,0.010165047
Harvey Langi,-0.047220833
Henry Anderson,0.064633405
Hercules Mata'afa,0.129644361
Holton Hill,-0.048395751
Ibraheim Campbell,-0.120068506
Ifeadi Odenigbo,0.004439107
Isaac Rochell,-0.031320178
Isaiah Buggs,-0.012761413
Isaiah Irving,0.048251559
Isaiah Mack,-9.41E-04
Isaiah McKenzie,-0.244608341
Isaiah Oliver,0.180301696
J.C. Jackson,0.009891677
Jabaal Sheard,-0.022630042
Jabrill Peppers,0.024794887
Jack Crawford,-0.005126163
Jacob Martin,0.014497041
Jacob Tuioti-Mariner,0.004144287
Jadeveon Clowney,-0.005903532
Jahlani Tavai,0.012699482
Jahleel Addae,-0.023367723
Jaleel Johnson,0.01929811
Jalen Mills,0.352710257
Jalen Reeves-Maybin,0.022677529
Jalen Thompson,0.006375831
Jalyn Holmes,-0.036563053
Jamal Adams,0.038269233
Jamal Carter,0.233520327
Jamal Davis II,-0.041740231
Jamar Taylor,0.008614344
James Bradberry,-0.033971613
James Burgess,-0.019508412
James Vaughters,-0.089564556
Jamie Collins,0.028027981
Jamie Meder,0.079539498
Janoris Jenkins,0.437413678
Jaquan Johnson,0.302132209
Jaquiski Tartt,-0.034355446
Jarrad Davis,-0.182952677
Jarran Reed,0.023774975
Jarrod Wilson,-0.037147751
Jason McCourty,-0.029449757
Jason Pierre-Paul,-0.001173045
Javien Elliott,0.050591999
Javon Hargrave,-0.010593623
Jaylon Ferguson,-0.003206364
Jaylon Smith,0.213917075
Jayon Brown,-0.181808141
Jayron Kearse,-0.154645282
Jayrone Elliott,-0.023811211
Jeff Heath,-0.017120827
Jeffery Simmons,-0.004680948
Jeremiah Attaochu,-0.011797626
Jeremiah Valoaga,0.011032206
Jeremy Reaves,0.173895491
Jermaine Carter,-0.013248407
Jermaine Whitehead,-0.241466468
Jerome Baker,-0.046174587
Jerry Hughes,-0.008473729
Jerry Tillery,7.40E-04
Jihad Ward,-0.063351125
Jimmie Ward,0.551184549
Jimmy Moreland,0.029332222
Jimmy Smith,0.007369482
Joe Schobert,0.026699988
Joe Thomas,-0.01375777
Joe Walker,2.89E-04
Joel Heath,-0.020511207
Joel Iyiegbuniwe,-0.667052715
Joey Bosa,0.021055
Joey Ivie,0.023988794
John Atkins,0.009357621
John Cominsky,-0.188178198
John Jenkins,0.003797403
John Simon,-0.051902163
Johnathan Hankins,0.008761227
Jomal Wiltz,0.355474733
Jonathan Allen,0.012458193
Jonathan Bostic,0.109086697
Jonathan Bullard,0.092722463
Jonathan Harris,0.091706432
Jonathan Jones,0.046306108
Jonathan Wynn,0.129708074
Jordan Evans,0.040628963
Jordan Hicks,0.074712184
Jordan Jenkins,-0.013224162
Jordan Phillips,-0.008477132
Jordan Poyer,-0.011069818
Jordan Whitehead,-0.109796368
Jordan Willis,0.054548488
Josey Jewell,-0.303093125
Josh Allen,0.081217029
Josh Bynes,-0.161741269
Josh Mauro,-0.111172314
Josh Sweat,-0.001639198
Josh Tupou,-0.030608991
Jourdan Lewis,-0.014055642
JT Gray,0.487112088
Juan Thornhill,-0.18579878
Julian Love,-0.168363328
Julian Stanford,0.109044844
Jullian Taylor,0.002937791
Jurrell Casey,0.025856607
Justin Ellis,-0.041221176
Justin Hollins,-0.028642392
Justin Houston,-0.00426572
Justin Jones,-0.003606898
Justin March-Lillard,0.245597243
Justin Reid,-0.059043499
Justin Simmons,-0.448009801
Justin Zimmer,-0.033584996
Juston Burris,0.028973935
K'Waun Williams,-0.302298209
K.J. Wright,0.024289438
Kamalei Correa,-0.029989543
Kamu Grugier-Hill,-0.007549075
Kareem Jackson,0.382843805
Kareem Martin,-0.069560441
Karl Joseph,0.179145043
Kendall Fuller,-0.063406173
Kendall Sheffield,-0.07535829
Kenny Clark,-0.001393053
Kenny Moore II,0.049581659
Kenny Vaccaro,0.037695139
Kentavius Street,0.042294972
Kerry Hyder,-0.033615102
Kevin Byard,0.091771371
Kevin Givens,-0.029808863
Kevin Johnson,0.063216758
Kevin King,-0.398423876
Kevin Pierre-Louis,0.004651838
Kevin Strong,0.045810066
Khalen Saunders,0.023702109
Khalil Mack,0.002267315
Khari Willis,-0.032520453
Kiko Alonso,-0.372589546
Kingsley Keke,0.041879548
Kris Boyd,-0.918704472
Kurt Coleman,-0.051527399
Kyle Fuller,0.051652674
Kyle Love,0.00406637
Kyle Peko,-0.017913886
Kyle Phillips,0.003165312
Kyle Van Noy,0.005041673
Kyle Wilber,0.033905874
Kyler Fackrell,-3.28E-04
Kylie Fitts,0.054689884
Kyron Brown,-0.120844533
Kyzir White,-0.048106127
L.J. Collier,0.006406635
L.J. Fort,-0.541195228
Lamarcus Joyner,-0.167127999
Landon Collins,-0.084086792
LaRoy Reynolds,0.408131023
Larry Ogunjobi,0.006255788
Lavonte David,-0.052652831
Lawrence Guy,0.011537757
Leighton Vander Esch,-0.035428641
Leon Jacobs,0.011669374
Leonard Floyd,-0.032763785
Leonard Williams,0.007695395
Lerentee McCray,-0.483281045
LeShaun Sims,0.794856712
Levi Wallace,-0.001072796
Linval Joseph,-0.015793593
Logan Ryan,0.013387091
Lorenzo Alexander,0.093459335
Lorenzo Carter,-0.001164061
Luke Kuechly,0.265459902
Mack Wilson,0.002034799
Mackensie Alexander,-0.246297613
Malcolm Jenkins,0.020498907
Malcolm Smith,-0.168971162
Malcom Brown,-0.011986299
Maliek Collins,0.002468343
Malik Hooker,-0.067710917
Malik Reed,0.084702048
Manti Te'o,0.890834697
Marcell Harris,-0.048507589
Marcus Davenport,0.056598652
Marcus Maye,0.14087451
Marcus Peters,0.128326731
Marcus Williams,0.160410682
Margus Hunt,0.003095327
Mario Addison,0.027461059
Mario Edwards Jr,-0.007217189
Mark Barron,-0.269664958
Markus Golden,-0.027483414
Marlon Humphrey,0.14225279
Marquel Lee,0.036848089
Marqui Christian,-0.451847469
Marquis Haynes,-3.99E-05
Matt Dickerson,0.104246052
Matt Ioannidis,0.054703122
Matt Judon,-0.023759023
Matt Milano,-0.010677515
Maurice Canady,-0.203811027
Maurice Hurst,0.004512042
Maxx Crosby,-0.017528385
Melvin Ingram III,0.014874339
Micah Hyde,0.083032324
Michael Bennett,-0.035130976
Michael Brockers,0.004905453
Michael Dogbe,0.0283356
Michael Pierce,5.50E-04
Michael Thomas,0.155631892
Mike Adams,0.016304301
Mike Daniels,-0.011749666
Mike Edwards,0.209251091
Mike Hilton,0.110952852
Mike Pennel,0.039294881
Mike Purcell,0.006848897
Miles Brown,-0.030237806
Miles Killebrew,-0.037733919
Minkah Fitzpatrick,-0.306128011
Montez Sweat,0.05075894
Montravius Adams,0.032760417
Montre Hartage,-0.484243987
Morgan Burnett,-0.028288641
Morgan Fox,-0.01363149
Mychal Kendricks,-0.030035336
Myles Garrett,-0.064062706
Myles Jack,0.237937559
NA,0.00335911
Najee Goode,0.148366689
Nate Hairston,-0.023581812
Nate Orchard,0.024010346
Nathan Gerry,-0.177249674
Nathan Shepherd,-0.059090989
Ndamukong Suh,-0.02209757
Nicholas Morrow,0.08295997
Nick Bosa,0.010691994
Nick Kwiatkoski,0.06541801
Nick Vigil,-0.030773379
Nick Williams,-0.02113535
Nickell Robey-Coleman,-0.089347719
Nigel Bradham,-0.118719342
Noah Spence,-0.010941239
Ogbonnia Okoronkwo,0.036416256
Olasunkanmi Adeniyi,-0.092217522
Olivier Vernon,0.046489777
Olsen Pierre,0.041379069
Oren Burks,0.055420104
Oshane Ximines,0.049707346
Patrick Chung,0.184839086
Patrick O'Connor,0.008248984
Patrick Onwuasor,-0.116409122
Patrick Ricard,-0.065609408
Patrick Robinson,-0.112523106
Pete Robertson,-0.180961191
Peter Kalambayi,0.507225649
Pierre Desir,-0.03591113
PJ Hall,0.019211884
PJ Williams,0.226153064
Poona Ford,0.004265322
Porter Gustin,0.041682232
Preston Smith,-0.034354179
Prince Amukamara,-0.043742118
Quincy Williams,0.374305557
Quinnen Williams,-0.027230264
Quinton Dunbar,-0.177087612
Quinton Jefferson,9.08E-04
Raekwon McMillan,-0.09846908
Rakeem Nunez-Roches,-0.007143892
Rashaan Evans,0.048070293
Rashaan Melvin,-0.025927114
Rashad Fenton,-0.240598286
Rashan Gary,0.020959721
Rasheem Green,0.008507772
Rasul Douglas,-0.360215896
Reggie Gilbert,0.052241676
Reggie Ragland,-0.011898009
Renell Wren,-0.066955645
Reshad Jones,0.102465134
Ricardo Allen,0.011244596
Richard Sherman,-0.031896489
RJ McIntosh,0.008782304
Rob McCray,0.053059374
Robert Nkemdiche,0.328194442
Robert Quinn,-0.009744954
Robert Spillane,-0.122873257
Rodney Gunter,0.020675278
Rodney McLeod,-0.040202853
Romeo Okwara,0.008922944
Ronald Blair III,0.075812354
Ronnie Harrison,0.049347645
Roquan Smith,0.036390169
Ross Cockrell,-0.184146492
Roy Robertson-Harris,0.031539442
Ryan Anderson,-0.03386902
Ryan Bee,-0.055770649
Ryan Kerrigan,-0.045558756
Sam Acho,0.040257038
Sam Eguavoen,-0.012725343
Sam Hubbard,0.015231097
Samson Ebukam,-0.029387094
Saquan Hampton,-0.078833378
Sean Lee,7.35E-04
Sean Murphy-Bunting,0.460759084
Sebastian Joseph-Day,-0.022886708
Shamar Stephen,-0.020991904
Shaq Lawson,-0.098535176
Shaq Thompson,-0.020912473
Shaquem Griffin,0.022538086
Shaquil Barrett,-0.01108801
Shaquill Griffin,0.024825823
Sharif Finch,0.085156558
Shaun Dion Hamilton,-0.097085897
Shawn Williams,-0.049088887
Shelby Harris,-0.003747088
Sheldon Day,0.016327626
Sheldon Rankins,0.029394647
Sheldon Richardson,0.008926716
Sheldrick Redwine,0.166249246
Shilique Calhoun,-0.037122406
Shy Tuttle,0.003874074
Sione Takitaki,-0.041001582
Siran Neal,-0.196575617
Solomon Thomas,-0.003621528
Stacy McGee,0.008667202
Star Lotulelei,-0.007258632
